,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12280,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19905281.0,19905281.0,False,,1,,,,2025-08-13T09:10:00.000Z,119976.2661252019,75107116456.44601,1.2959,0.2721217,1.10692345,5.27640142,-2.00936464,14.18259033,17.53862114,2388161290552.9253,58.4983,2519501588629.24,,2025-08-13T09:10:00.000Z,,,,,,2025-08-13 14:43:26.722296
1,1027,Ethereum,ETH,ethereum,10437,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,120708589.99439152,120708589.99439152,True,,2,,,,2025-08-13T09:11:00.000Z,4631.943880597337,64616998039.77283,45.6035,-0.01830256,7.73133627,27.88888564,51.98954417,82.976222,81.19228224,559115414760.0547,13.6956,559115414760.05,,2025-08-13T09:11:00.000Z,,,,,,2025-08-13 14:43:26.722296
2,52,XRP,XRP,xrp,1674,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59308385925.0,99985880506.0,False,,3,,,,2025-08-13T09:11:00.000Z,3.2904013204543743,8960416743.430641,5.1085,1.60534379,4.76486516,12.31710303,10.37052086,51.4947709,32.15214121,195148391361.63763,4.7802,329040132045.44,,2025-08-13T09:11:00.000Z,,,,,,2025-08-13 14:43:26.722296
3,825,Tether USDt,USDT,tether,141173,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem']",,165024459754.79034,167749161112.3088,True,,4,,,,2025-08-13T09:10:00.000Z,0.9998897788149678,161638898186.48843,22.9327,0.00129999,-0.01212099,-0.00331491,-0.03780556,-0.06679939,-0.01834599,165006270563.27686,4.0419,167730671600.98,,2025-08-13T09:10:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-08-13 14:43:26.722296
4,1839,BNB,BNB,bnb,2661,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing']",,139287849.79,139287849.79,False,,5,,,,2025-08-13T09:10:00.000Z,852.7316836180333,3268198400.709593,22.8414,0.85087139,6.03522592,12.26261562,20.86611034,31.0591633,31.02979987,118775162658.96242,2.9094,118775162658.96,,2025-08-13T09:10:00.000Z,,,,,,2025-08-13 14:43:26.722296
5,5426,Solana,SOL,solana,968,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,539664555.6289246,607331115.9913797,True,,6,525236893.3,104796417631.07559,,2025-08-13T09:10:00.000Z,199.52219459043013,11958005649.851124,102.6469,0.64483929,14.03395194,22.23240444,19.02419386,36.87094978,15.96406757,107675056481.7523,2.6375,121176037105.66,,2025-08-13T09:10:00.000Z,,,,,,2025-08-13 14:43:26.722296
6,3408,USDC,USDC,usd-coin,30473,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,66329209806.7787,66329209806.7787,False,,7,60901219650.23,60882243691.65709,,2025-08-13T09:10:00.000Z,0.9996884141453669,21079493929.889194,17.9789,0.00505246,-0.02279812,-0.01951778,-0.0341835,-0.03037959,-0.0199536,66308542563.25392,1.6242,66308542563.25,,2025-08-13T09:10:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-08-13 14:43:26.722296
7,74,Dogecoin,DOGE,dogecoin,1270,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,150498746383.70526,150498746383.70526,True,,8,,,,2025-08-13T09:11:00.000Z,0.2487169606365581,3921451205.7647777,65.2054,0.9717191,11.65997622,24.62210259,20.16124534,40.63565255,9.30821387,37431590780.16736,0.9169,37431590780.17,,2025-08-13T09:11:00.000Z,,,,,,2025-08-13 14:43:26.722296
8,1958,TRON,TRX,tron,1212,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,94691156432.3484,94691172958.68394,True,,9,71659659264.0,25492816885.964664,,2025-08-13T09:11:00.000Z,0.35574850826525783,1290927257.8155713,19.6489,-0.04181864,2.70724097,6.63608637,17.15896196,32.14036983,31.58502266,33686237646.72012,0.8251,33686243525.94,,2025-08-13T09:11:00.000Z,,,,,,2025-08-13 14:43:26.722296
9,2010,Cardano,ADA,cardano,1562,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35609095291.32136,44993664451.7522,False,,10,37997904336.0,33607147984.25667,,2025-08-13T09:11:00.000Z,0.8844474076012809,2379998506.9454937,94.7671,3.12963759,13.78814734,22.30001894,17.10525462,39.13777134,13.42371876,31494372017.436153,0.7715,39800133342.06,,2025-08-13T09:11:00.000Z,,,,,,2025-08-13 14:43:26.722296
